sent_id,original,replacement,context
2-41,causap,kausap,Sinabi naman sa kanya ng kanyang mga causap ang ca...
2-43,sucat,sukat,—ang sinabi't sucat ng isang binata at bahagya ng ...
2-56,bucas,bukas,"; ang pangalan ko'y Kapitang Tinong, nananahan ako..."
2-57,calaking,kalaking,Bihag na bihag si Ibarra sa gayong calaking cagand...
2-60,bucas,bukas,—Ngunit pasasa San Diego po ako bucas ......
3-36,balicat,balikat,"—ani Kapitang Tiago, casabay ng pagdidiin sa balic..."
3-41,pacpac,pakpak,Ngunit ayawan kung sa isang pagkalibang o iba caya...
3-41,manoc,manok,Ngunit ayawan kung sa isang pagkalibang o iba caya...
3-41,manoc,manok,Ngunit ayawan kung sa isang pagkalibang o iba caya...
3-71,wica,wika,—Guinagamit ko po ang wica ng lupaing aking pinagl...
3-73,wica,wika,—ang tanong ng dominicong natira sa Hongkong at to...
3-82,lacad,lakad,—Sa halimbawa ... tungkol sa pamumuhay ng mga baya...
3-87,cang,kang,—ang itinanong na nagtatawa ng palibac ng francisc...
3-94,bucas,bukas,"—Itulot ninyo sa aking ako'y umalis na, sa pagka't..."
3-103,bucas,bukas,—¡Paririto ako bucas bago ako umalis....
3-119,pacpac,pakpak,Ng gabing yao'y kasama ng mga iba't ibang bagay na...
4-3,lacad,lakad,"Nagdaraan ang mga cocheng tila mga kidla't, mga ca..."
4-4,paglacad,paglakad,Taglay iyang paglacad na hindi nangagcacawangis an...
4-5,cupas,kupas,Yao'y ang mga dating daan at mga dating bahay na m...
4-6,lacad,lakad,—¡Marahan ang lacad!...
4-16,balicat,balikat,Samantalang pinanonood niya ang catacatacang panan...
4-24,bucas,bukas,—Itinanong ko kay Kapitang Tiago ay sumagot sa aki...
4-36,wica,wika,¿Ano po ang wica ninyo?...
4-64,matacot,matakot,Bucod sa rito'y totoong dalisay ang capurihan ni D...
4-77,culang,kulang,"Pinaglilibacan ang culang palad, na pinagbabayaran..."
4-78,manoc,manok,Sadyang ibinibigay sa kanya ang mga sulat ng patum...
4-88,malacas,malakas,"Umulan ang mga paratang, isinumbong na siya'y fili..."
4-92,culang,kulang,"Kung naging iba sana ang inyong ama, marahil pagda..."
4-97,wica,wika,"—""Sa akin ay matatalo""—ang wica sa akin...."
5-2,cabilang,kabilang,"Totoong maliwanag, sa caramihan ng ilaw, ang catap..."
5-6,culay,kulay,"Na sa tabi ng diosang iyon si pari Damaso, at si p..."
5-14,culang,kulang,Ito ang nakikita ng culang palad sa kanyang harapa...
5-16,manoc,manok,Inihihip ng catahimican ang kanyang hungcag na hin...
6-4,culay,kulay,"Palibhasa'y pandac, maliwanag ang culay, bilog ang..."
6-13,Casundo,Kasundo,""" Casundo niya ang lahat ng mga pinuno, matalino, ..."
6-14,casundo,kasundo,Kaya nga't ng panahong nangyayari ang mga bagay na...
6-15,casundo,kasundo,"Na siya'y casundo ng Dios, ito'y isang bagay na hi..."
6-24,culay,kulay,"Doo'y may napapanood na mga larawan ng ""Sacra Fami..."
6-25,Paco,Pako,Mga cuadrong pintado ng oleo ng mga artistang taga...
6-26,pacpac,pakpak,"Napapanood din doon ang isang San Antonio Abad, na..."
6-26,culay,kulay,"Napapanood din doon ang isang San Antonio Abad, na..."
6-26,pacpac,pakpak,"Napapanood din doon ang isang San Antonio Abad, na..."
6-29,culay,kulay,Gayon ma'y sasabihin din namin ang isang magandang...
6-29,canan,kanan,Gayon ma'y sasabihin din namin ang isang magandang...
6-30,tacot,takot,Hindi lumalapit sa kanya kailan man si Kapitang Ti...
6-34,cabila,kabila,Walang sinabing ano man lamang salita ang santo; n...
6-38,manoc,manok,Napanood din naman naming ipinakikita ng pari sa m...
6-49,manoc,manok,"Sa Binundoc, sa Capampangan at sa bayan ng San Die..."
6-53,casundo,kasundo,"Na siya'y casundo ng Gobierno, ang baga'y na ito'y..."
6-56,lacad,lakad,""" Lagui ng may handa siyang mga orquesta upang bum..."
6-60,paglacad,paglakad,Kaya nga't ipinalalagay ng mga punong macapangyari...
6-77,sucat,sukat,Hinihintay ni Kapitang Tiago na bawa't araw ay tit...
6-95,culay,kulay,Nang sanggol pa siya'y culot ang kanyang buhac at ...
6-95,culay,kulay,Nang sanggol pa siya'y culot ang kanyang buhac at ...
6-99,pacpac,pakpak,Ang mga fraile ma'y linalaro siya pagka isinasama ...
6-103,calaro,kalaro,Tumatangis si Maria Clarang nag-paalam kay pari Da...
7-6,nacapag,nakapag,Ngayo'y nacapag-agahan na tila at nililibang ni Ma...
7-15,cang,kang,"Dapat cang pasalalawigan, namumutla ka ng mainam a..."
7-41,cang,kang,¡halica at huwag cang magpahintay!...
7-48,macapag,makapag,"At pagkatapos, sa pagtacas ng dalawang nagsisintah..."
7-49,culay,kulay,Kayo ang magsabi't may bango kayo sa inyong hining...
7-53,wica,wika,—Lalong magaling—ang wica nito—diya'y ang buong ba...
7-55,Cain,Kain,"Ang babae, palibhasa'y kapatid ni Cain ay panibugh..."
7-59,Cain,Kain,"Ang lalaki naman, palibhasa'y isa pa ring kapatid ..."
7-61,magculang,magkulang,—ang sagot na nangangaanino ng buong ligaya sa mga...
7-62,bangcay,bangkay,"Natatandaan mo ba ang gabing yaon, ang gabing yaon..."
7-62,balicat,balikat,"Natatandaan mo ba ang gabing yaon, ang gabing yaon..."
7-65,bangcay,bangkay,Sa dakong labas ay umuulan at cumikidlat; ngunit s...
7-74,naglacad,naglakad,Kung minsa'y naliligaw ako sa mga landas ng mga ca...
7-82,culay,kulay,Hinihirang mo ang lalong magagandang sigay at ng t...
7-82,cang,kang,Hinihirang mo ang lalong magagandang sigay at ng t...
7-85,macapag,makapag,"Niyo'y pinapagpighati mo ako; ngunit ng matapos, p..."
7-88,culay,kulay,Hindi cata pinapansin; naglilibang ako sa panghaha...
7-89,cang,kang,"Caguinsaguinsa'y nawala ka, at ng ikaw ay bumalic,..."
7-107,cang,kang,—¡Howag cang malicot!...
7-120,balicat,balikat,"Hindi umimic ang aking ama, naglining-lining, ilin..."
7-123,bucas,bukas,"Bumubucas sa iyo ang panahong sasapit, samantalang..."
7-130,Bucas,Bukas,Bucas ang fiesta ng mga namatay....
8-2,calabaw,kalabaw,"Ang casayahang hindi naglilicat sa lahat ng panig,..."
8-2,culay,kulay,"Ang casayahang hindi naglilicat sa lahat ng panig,..."
8-7,balicat,balikat,"Matatangcad sila, madidilim ang pagmumukhang kaila..."
8-10,bucas,bukas,Sa lilim ng isang carretong kahoy nacabulagta ang ...
8-11,bucas,bukas,"""Ngayo'y ikaw, bucas nama'y kami,"" marahil siyang ..."
8-12,paglacad,paglakad,Hindi pinapansin ng mga taong nagdudumaling dumara...
8-16,canan,kanan,"Tinakhan niya ang bagong ""Puente de España""; nanga..."
8-23,malacas,malakas,"Ipinagtabuyan, ang kanyang caayaayang mga naaalaal..."
8-23,bucas,bukas,"Ipinagtabuyan, ang kanyang caayaayang mga naaalaal..."
8-24,canan,kanan,Inihiwalay doon ni Ibarra ang kanyang mga mata at ...
8-24,cuta,kuta,Inihiwalay doon ni Ibarra ang kanyang mga mata at ...
8-24,culang,kulang,Inihiwalay doon ni Ibarra ang kanyang mga mata at ...
8-26,cabilang,kabilang,—¡Na sa cabilang ibayo ang Europa!...
8-29,cabilang,kabilang,"¡Tunay nga, sa cabilang ibayo ng dagat na di maula..."
8-32,nagbucas,nagbukas,Kanyang guinugunita ang taong nagbucas ng kanyang ...
8-48,calabaw,kalabaw,Kung minsa'y isang carretong hila ng isang calabaw...
8-48,lacad,lakad,Kung minsa'y isang carretong hila ng isang calabaw...
8-49,calabaw,kalabaw,Nakikisaliw sa malungcot at di nagbabagong anyo ng...
9-22,pagpasoc,pagpasok,—ang siyang bati ng batang dominico pagpasoc....
9-95,wica,wika,—Padre cura ang isinagot:—marunong po akong tumupa...
10-7,natacot,natakot,May natatanaw sa dakong malayong isang maliit na b...
10-7,malacas,malakas,May natatanaw sa dakong malayong isang maliit na b...
10-8,paglacad,paglakad,Mga katawan ng puno ng niog o ng kahoy na may bala...
10-19,bangcay,bangkay,Itinapon ng ilang babae sa ilog ang mga hiyas at s...
10-21,culang,kulang,"Isang culang palad na nangingibig, na sa pagmimith..."
11-10,culang,kulang,"Ito'y isang culang palad na hindi nag-uutos, siya ..."
11-16,cuta,kuta,May pagkawangis ang San Diego sa Roma; ngunit hind...
11-27,bangcay,bangkay,Lumulucso ang calolowa sa catuwaan pagkakita ng na...
11-28,mabaca,mabaka,Nacatipon ang sacristan mayor ng isang mabutibuti ...
11-28,wica,wika,Nacatipon ang sacristan mayor ng isang mabutibuti ...
11-34,cati,kati,Nacapangingilis ng kanyang mga ugat ang kanyang mg...
11-35,pacay,pakay,"Ang alferez, na gaya na nga ng sinabi namin, ang t..."
11-39,licod,likod,"Nanghihiganti sa sariling katawan ang alferez, sa ..."
11-40,capit,kapit,Nangaghahampasang magaling ang alferez at si Doña ...
11-40,malacas,malakas,Nangaghahampasang magaling ang alferez at si Doña ...
11-51,causap,kausap,—ang tanong ng causap na nagugulat—¿nanglalason po...
11-62,magbalic,magbalik,"Hindi dahil dito'y nagbabagong ugali ang alferez, ..."
11-68,paglacad,paglakad,"Ang mga dalagang itong sa kanya'y nangatatacot, du..."
12-12,calapit,kalapit,"Isang pintuang kahoy, at isang bacod na ang calaha..."
12-21,pagpasoc,pagpasok,Sa horas ng pagpasoc namin ay binugaw ang mga hayo...
12-35,bangcay,bangkay,Kung humucay ka sanang gaya ko ng isang bangcay na...
12-37,cang,kang,"—Naalis ang pagkapaco ng cabaong, umaalingasaw ......"
12-51,bangcay,bangkay,at ¿ano ang ginawa mo sa bangcay pagkatapos?...
12-59,causap,kausap,—ang isinalabat ng causap na lipos ng pangingilabo...
12-72,balicat,balikat,Ikinibit ng maglilibing ang kanyang mga balicat....
13-1,pagtiguil,pagtigil,"Nang sandaling lumalabas ang matandang lalaki, siy..."
13-2,casunod,kasunod,Umibis si Ibarra sa cocheng casunod ng isang alila...
13-6,licod,likod,—¡Diyan po sa licod ng malaking cruz na iyan—ang i...
13-8,paglacad,paglakad,"Nag-iingat ang binata ng paglacad, pinangingilagan..."
13-10,cabilang,kabilang,Huminto siya pagdating sa cabilang daco ng cruz at...
13-64,wica,wika,Mabuti pa ang malunod kay sa mapasama sa mga insic...
13-65,balicat,balikat,Inilagay ni Ibarra ang kanyang mga kamay sa magcab...
13-66,culang,kulang,—¡Ikaw ay wala kung di isang culang palad!...
13-70,bangcay,bangkay,"Binugbog ako ng baston ng paring malaki, dahilang ..."
13-73,lacad,lakad,Matulin ang lacad ni Ibarra na sa malayo ang tanaw...
13-78,bucas,bukas,Naliliguid ang bahay na iyon ng pader na sinisibul...
13-79,pagbalic,pagbalik,Ngunit hindi pinapansin ng binata ang caligayahang...
13-85,pinatiguil,pinatigil,Sandalingsandali lamang tumagal ang pag-aalinlanga...
13-85,balicat,balikat,Sandalingsandali lamang tumagal ang pag-aalinlanga...
14-8,magca,magka,"Ayon sa sinabi na namin, ang hapo'y nagbabalang ma..."
14-10,naca,naka,Sa malapit sa simbaha'y nasalubong niya ang isang ...
14-22,causap,kausap,"—ang sagot ni Tasio, na palibac din naman ang anyo..."
14-63,causap,kausap,"""—ang isinagot ng causap na ngumingiti...."
14-67,wica,wika,"—ang wica ng matandang lalaki sa sarisaring ""tono""..."
14-75,balicat,balikat,Ikinibit ng filosofo ang kanyang mga balicat....
14-78,bangcay,bangkay,—Talastas na po ninyong ako'y isa sa anim na nakip...
14-88,bucas,bukas,—ang isinagot ng babaeng taglay ang tunay na pagpi...
14-111,wica,wika,"Ang cauntian ang wica ko, sa pagka't pagkatapos na..."
14-118,casunod,kasunod,Isang kidlat na may casunod agad agad na isang mau...
14-136,cabilang,kabilang,""" Nagsasaysay rin naman si San Agustin, tungkol sa..."
14-138,cabilang,kabilang,—ang sinabi ni Don Filipo;—¡hindi pa siya magcacas...
14-140,Capal,Kapal,"Bagamat sumang-ayon na si San Gregorio, alinsunod ..."
14-155,tacot,takot,"Pagka ako'y naghihingalo na, ihahandog ko sa kanya..."
15-1,tacot,takot,"Bahagya na ang patlang ng dagundong ng mga culog, ..."
15-4,causap,kausap,Nangasaicalawang saray ng campanario ang dalawang ...
15-19,cagat,kagat,Inihiwalay ng matandang kapatid ang kanyang mga ma...
15-22,bucas,bukas,"¡Ibig ko sanang magcasakit ako bucas sa bahay, ibi..."
15-24,cang,kang,"At ikaw man, caca, ang mabuti'y magcasakit cang ka..."
15-54,cang,kang,—¡Huwag cang magalit!...
15-71,cang,kang,"—¡Crispin, huwag cang umiyac!..."
15-73,cang,kang,—Hindi maniniwala ang nanay; huwag cang umiyac; si...
15-82,magcapatid,magkapatid,Nanglamig ang magcapatid....
15-102,macapag,makapag,—¿Kailan baga kaya ako macapag aararo ng isang buk...
16-15,wica,wika,"""—Datapwat kinacailangang patayin mo ang mga apoy ..."
16-27,macapag,makapag,"Doon sa malayo sa bayan, sa isang layong may isang..."
16-32,tacot,takot,Sa pagka't talastas ng lalaki kung hanggang saan a...
16-33,manoc,manok,Ng muhang tanong sa kanya si Sisa ng minsang siya'...
16-43,culay,kulay,"Siya ang tinatawag ng mga tagalog na ""cayumanguing..."
16-50,capit,kapit,"Bumili ng mga lawlaw, pinitas sa kanyang maliit na..."
16-56,casiya,kasiya,"Napangiti si Sisa, at sa kanyang catowaa'y ipinang..."
16-58,manoc,manok,Pagkatapos ay dinampot ng lalaki ang manoc at nag-...
16-69,Malacas,Malakas,—Malacas at maliwanag ang lacad ni Basilio; maraha...
16-69,lacad,lakad,—Malacas at maliwanag ang lacad ni Basilio; maraha...
16-77,Natacot,Natakot,"Natacot si Sisa, cumuha ng isang bato at hinaguis...."
17-59,tacot,takot,Nacacaramdam ng init at lamig; pinagpilitang pumik...
17-62,wica,wika,Pinakikinggan ng curang madilim ang pagmumukha at ...
17-96,bucas,bukas,"Ang mabuti po, nanay, cunin na ninyo bucas si Cris..."
17-97,calabaw,kalabaw,Paggaling ko'y pagdaca'y makikipagkita ako kay Don...
17-98,Macapag,Makapag,Macapag-aaral si Crispin sa bahay ni matandang Tas...
17-105,manoc,manok,"marahil bigyan pa po kayo ng isang maliit na ""guya..."
17-109,macapag,makapag,Pagka macapag-aararo na ako'y aking ipakikiusap na...
17-110,cacain,kakain,Magcacaroon tayo ng damit na bagong ucol sa bawa't...
18-6,magcapatid,magkapatid,"¡Uulan ang mga multa, at ang lahat ng ito'y pawang..."
18-8,paglacad,paglakad,Nang makita nilang dumarating ang cura ay nangagti...
18-19,Sucat,Sukat,—Sucat na ang isang indulgencia plenaria upang mah...
18-53,culang,kulang,Sa halimbawa: ipalagay po ninyong nagcamit ako ng ...
18-76,Culang,Kulang,—¡Culang!...
18-109,wica,wika,—ang wica ni Rufang tumindig—hindi pa nalalaong na...
18-111,capit,kapit,¡Kaya pala sinasabi ng inyong capit-bahay na babae...
18-129,wica,wika,—ang wica ni Sipa;—mabuti pa si pari Martin....
18-145,paco,pako,"Nanguha siya sa tabing ilog ng paco, na talastas n..."
18-156,paco,pako,Isinalansang mahusay ni Sisa sa ibabaw ng mesa ang...
18-182,culang,kulang,Tinacpan ng panyo ng culang palad na ina ang kanya...
19-1,malacas,malakas,"Natutulog ng tahimic, na taglay iyang pagpapaimbab..."
19-4,bangcay,bangkay,—¡Dito nga—ang sabi nitong huli—dito iniabsang ang...
19-7,sucat,sukat,—¡Wala po kayong sucat kilanlin sa aking utang na ...
19-33,sucat,sukat,Kung gayo'y tantuin ninyong kailan ma'y hindi mang...
19-41,malacas,malakas,Doo'y ang mga batang talagang maibiguing bumasa ng...
19-42,macapag,makapag,Inyong natatalastas na sa ganya'y hindi maaaring m...
19-47,nacapag,nakapag,Nang macaraan ang ilang linggo'y halos nawawatasan...
19-65,wica,wika,"Namaguitna ang sacristan mayor, nagtinig ang cura ..."
19-72,bangcay,bangkay,"datapwat ipinanganac ako sa lupaing ito, kinacaila..."
19-85,malacas,malakas,"Ang mga pamamalo, sa halimbawa, na buhat sa caunau..."
19-86,macapag,makapag,Napagkilala kong maliwanag na hindi nga mangyayari...
19-86,tacot,takot,Napagkilala kong maliwanag na hindi nga mangyayari...
19-88,magbalic,magbalik,Napagkilala ko rin namang ang kanilang pagkakita s...
19-123,nagbalic,nagbalik,—Bahagya pa lamang akong gumagaling sa sakit ay na...
20-10,pacay,pakay,—ani Don Filipong puno ng partido liberal sa kanya...
20-26,causap,kausap,"—ang sabi sa kanya ng mga causap, na minamasdan si..."
20-41,pagpasoc,pagpasok,Huminto ang mga alingawngaw pagpasoc niya; bawa't ...
20-81,catalo,katalo,"""Lubos"" ang aming pagasa na siyang mamagalingin ng..."
20-93,casiya,kasiya,"—¡Hindi casiya ang isang daa't limampo, kinacailan..."
20-108,capit,kapit,"—Bucod pa sa roon, upang makita ng ating mga capit..."
20-108,manoc,manok,"—Bucod pa sa roon, upang makita ng ating mga capit..."
20-138,manoc,manok,"—¿Ano ang cahulugan niyong mga inahing manoc, mga ..."
20-140,calapit,kalapit,"ang sasabihin ng mga calapit-bayan natin, at pagka..."
20-176,bundoc,bundok,¿Ano baga ang princesang iyang nakikihalobilo sa m...
20-194,sucat,sukat,Inaasahan naming sucat na ang isang linggong pagsa...
20-211,catuwa,katuwa,"Sumasang-ayon na ako, alang-alang sa totoong pinag..."
20-212,caawa,kaawa,"Casucatan na, sa pagbibigay casayahan sa fiesta, a..."
20-212,manoc,manok,"Casucatan na, sa pagbibigay casayahan sa fiesta, a..."
20-223,Culang,Kulang,Culang na lamang ang pasiya ng gobernadorcillo....
20-232,culang,kulang,"—Ngunit ang cura,—ang ipinagpatuloy ng culang pala..."
21-14,manoc,manok,Iniiwan na ng mga sundalo ang kanyang bahay at sil...
21-19,paglacad,paglakad,"Muling tinitigan niya, sa pagpapasalamat, ang lang..."
21-20,catacot,katakot,Nang malapit na si Sisa sa mga catacot-tacot na mg...
21-20,tacot,takot,Nang malapit na si Sisa sa mga catacot-tacot na mg...
21-20,manoc,manok,Nang malapit na si Sisa sa mga catacot-tacot na mg...
21-21,paglacad,paglakad,Bahagya pa lamang nangacacaraan sa kanyang tabi ay...
21-23,tacot,takot,"Hindi kinukusa'y lumapit si Sisa, at naramdaman ni..."
21-43,culang,kulang,—ang isinamo ng culang palad na babae!...
21-55,sucat,sukat,—Totoong ako'y mahirap; wala akong guinto o hiyas ...
21-55,nacuha,nakuha,—Totoong ako'y mahirap; wala akong guinto o hiyas ...
21-55,manoc,manok,—Totoong ako'y mahirap; wala akong guinto o hiyas ...
21-57,cang,kang,kinacailangang sumama ka sa amin; at kung aayaw ca...
21-64,wica,wika,—ang wica ng isa—sa pagka't buhat dito hanggang sa...
21-66,cang,kang,¡huwag cang papasoc sa alin mang tindahan at huwag...
21-66,cang,kang,¡huwag cang papasoc sa alin mang tindahan at huwag...
21-67,lacad,lakad,"¡Hala, lacad na at magmadali ka!..."
21-73,paglacad,paglakad,"Tinacpan ng panyo ang mukha, at sa paglacad niyang..."
21-76,lacad,lakad,Narinig niya ang yabag ng lacad ng mga kabayo: yao...
21-79,calakip,kalakip,"Ngayo'y ng mangagdaan sila sa kanyang tabi, sa aca..."
21-101,paglacad,paglakad,"Tinulinan ni Sisa ang paglacad, at ng kung mangyay..."
21-117,paglacad,paglakad,"At hindi siya nacakikita ng ano man, walang ano ma..."
21-120,manoc,manok,"Yaon ang cuartel: doo'y may mga sundalo, mga babae..."
21-123,manoc,manok,¿Ang inahing manoc lamang ang inyong dala?...
21-124,manoc,manok,—anang isang babae sa mga sundalong bagong dating;...
21-126,manoc,manok,kailan ma'y mahalaga ang inahing manoc kay sa sisi...
21-129,balicat,balikat,Mga kibit ng balicat ang siyang sa kanya'y sagot n...
21-143,culang,kulang,Bumalic sa kanyang bahay ang culang palad at nagpa...
21-146,calapit,kalapit,Inuulit ng alingangaw ang kanyang voces: ang matim...
21-152,pacpac,pakpak,"Sa buong gabi, pagka umaatungal ang unos, at lumil..."
21-152,tacot,takot,"Sa buong gabi, pagka umaatungal ang unos, at lumil..."
21-154,pacpac,pakpak,Pinagcalooban siya marahil ng Langit ng ilang hora...
22-22,Bucas,Bukas,"—Bucas, bago magbucang liwayway, magaganap ang han..."
22-23,magculang,magkulang,Ihahanda kong lahat ngayong gabi at ng huwag magcu...
22-30,culang,kulang,Sinasabi sa akin ng kaibigan kong si Sinang at sak...
22-35,cang,kang,Ngunit namamasid kong ikaw ay namumuhi; howag cang...
22-36,lacad,lakad,Narinig ang marahang lacad; yao'y ang curang lumal...
22-49,bucas,bukas,"—At yamang mga fiesta ang ating mga pinag-uusapan,..."
23-2,paglacad,paglakad,Sila'y limang mga batang dalagang nangagmamadali n...
23-2,calapit,kalapit,Sila'y limang mga batang dalagang nangagmamadali n...
23-14,cang,kang,"—¡Magmahigpit ka, howag cang haling!..."
23-37,culay,kulay,Doo'y kanilang nakita ang dalawang bangcang nagcac...
23-40,calabaw,kalabaw,Sa isang bangcang lalong marikit ang pagkakagayac ...
23-53,culay,kulay,Sa silangana'y sumusungaw ang mga unang culay ng l...
23-56,malacas,malakas,—ani Albinong seminarista ng sabing malacas sa isa...
23-84,cabilang,kabilang,Kinailangang lumipat ang ilang bagongtao sa cabila...
23-101,cacain,kakain,—¡Iinom din ako ng cha at cacain ako ng galletas!...
23-107,culay,kulay,Maganda ang umaga: nagpapasimula na ng pagtinggad ...
23-119,malacas,malakas,Siya'y isang binatang napagkikilalang malacas sa k...
23-121,bundoc,bundok,Hindi miminsang nasubucan ang taong ito ni Maria C...
23-128,pacpac,pakpak,Natatanaw buhat sa malayo ang ilang tagac na nacad...
23-129,calapit,kalapit,"Sinundan ng tingin ni Maria Clara ang mga tagac, n..."
23-129,bundoc,bundok,"Sinundan ng tingin ni Maria Clara ang mga tagac, n..."
23-130,bundoc,bundok,—¿Nangagpupugad ba ang mga ibong iyan sa bundoc?...
23-134,culang,kulang,"—Inacala kong sila'y may pugad, sa pagka't kung hi..."
23-164,calabaw,kalabaw,"Yao'y gawa ng naging seminaristang si Albino, na h..."
23-169,nacapag,nakapag,—ang sagot ng naging seminarista ng buong cataimti...
23-174,malacas,malakas,At muli na namang hinipan ng lalo pa manding malac...
23-186,culang,kulang,"Nanhic, ng magcagayon, ang nagbibinata ng anak ng ..."
23-214,calapit,kalapit,Sandaling tiningnan niya ng walang imic ang calapi...
23-214,bundoc,bundok,Sandaling tiningnan niya ng walang imic ang calapi...
23-223,licod,likod,Iya'y hindi ang buhangin; iyan ang matigas na bala...
23-261,licod,likod,"Malaking buaya iyon, na gaya na nga ng ibinalita n..."
23-264,malacas,malakas,Nang wala na sa tubig at ng mailagay na sa ibabaw ...
23-265,malacas,malakas,"Tinicman ng buaya ang huling pagpipiglas, ibinalan..."
23-270,bangcay,bangkay,Lumucso sa malalim na tubigang binatang mangingisd...
23-285,cabilang,kabilang,Aayaw ng pumaroon ang matatandang babae sa cabilan...
23-293,cabilang,kabilang,"Nagsiparoon nga ang mga bangca sa cabilang baclad,..."
23-294,bundoc,bundok,Umaaraw na; humihihip ang amihan: napupucaw at nam...
23-294,culay,kulay,Umaaraw na; humihihip ang amihan: napupucaw at nam...
23-297,cabilang,kabilang,Pinaroonan ang cabilang baclad na may malaking pag...
23-307,bangcay,bangkay,Umaalingawngaw sa alang-alang ang musica; napaimbu...
23-307,licod,likod,Umaalingawngaw sa alang-alang ang musica; napaimbu...
24-12,culay,kulay,Mga bulaklak na kusang sumisibol na ang marami sa ...
24-12,culay,kulay,Mga bulaklak na kusang sumisibol na ang marami sa ...
24-12,pacpac,pakpak,Mga bulaklak na kusang sumisibol na ang marami sa ...
24-14,maglacad,maglakad,Malaonlaon din siyang nagpalacadlacad sa casucalan...
24-17,licod,likod,Nagtago si pari Salvi sa licod ng malaking puno ng...
24-36,culay,kulay,Nacalugay ang kanilang buhok at hubad ang kanilang...
24-38,culay,kulay,Pinanonood ng fraileng Acteon na namumutla at hind...
24-39,licod,likod,"Sa licod ng isang pag-lico sa ilat, sa gitna ng ma..."
24-41,nagbalic,nagbalik,"Humintong hindi cumikilos, nagaalinlangan; humakba..."
24-41,naglacad,naglakad,"Humintong hindi cumikilos, nagaalinlangan; humakba..."
24-44,manoc,manok,Nacatanaw naman siya sa daco pa roon ng isang tula...
24-45,cabilang,kabilang,"At doon sa cabilang ibayo, sa isang calinisang kan..."
24-57,calaking,kalaking,"Ipinakita nila sa cura ang buaya, datapwat tila ma..."
24-65,macapag,makapag,"—Hindi ka na ngayon, Albino, macapag panucala ng m..."
24-85,wica,wika,Ang wica ko'y alferez ng Guardia Civil.......
24-86,Nagcagat,Nagkagat,Nagcagat-labi ang militar at ibinulong ang isang h...
24-87,paglacad,paglakad,Sa ganito'y siyang pagsipot ng isang babaeng namum...
24-91,paglacad,paglakad,Ngunit ipinagpatuloy ng babae ang kanyang paglacad...
24-110,wica,wika,"—¿Nangawala, ang wica ninyo?..."
24-142,sucat,sukat,May usapin tayong labing limang taong taon na ngay...
24-153,licod,likod,"Napilitang itago ni kapitang Basilio ang ""Hari"" sa..."
