token,count_total,example_contexts,chapters_seen
buhoc,64,"Ang isa sa mga paisano'y isang taong malingguit, maitim ang balbas at walang ikinatatangi kung di an... | Ngunit hindi ko mapagcuro kung ano ang cabagayan ng inyong mga sinabi sa pagcacaalis ng ""estanco ng ... | Ngayo'y ang may pulang buhoc naman ang natigagal, lalong ikinunot ng teniente ang canyang mga kilay,...","1,12,15,16,19,21,22,23,24,27,29,3,31,32,37,38,39,42,45,47,5,50,52,55,56,59,6,62,63,7"
convento,64,"Wala sa canyang convento ang pantas na dominico; maagang maaga, pagcapagmisa, siya'y napatungo sa co... | Wala sa canyang convento ang pantas na dominico; maagang maaga, pagcapagmisa, siya'y napatungo sa co... | —¿Paparoon ba kayo sa convento upang dalawin ang ""curita"" ""Mosca, muerta?...","11,15,17,18,19,20,21,22,25,27,28,29,31,34,35,36,43,45,52,53,54,55,57,58,61,63,9"
lacas,63,"Baga man sumusungaw na ang mga uban sa canyang balbas, wari'y nananatili ang lacas ng canyang maluso... | —ang sagot na paangil at galit, at saka biglang nagpatinghiga ng boong lacas sa hiligan ng sillon.... | Sinasabi sa akin ng aking ""conciencia"" na sa loob ng kaya'y dapat akong humalili sa taong aking pina...","1,13,17,18,19,21,23,25,28,31,32,33,34,36,38,4,40,42,44,48,49,50,51,53,57,58,59,6,60,61,62,7"
Camorra,62,"—Datapwa’y hindi ibig sabihin ng ganito na kayo’y wala sa katwiran at gayon din naman si P. Camorra ... | —ang sagot ni P. Camorra—hindi kailangang maging indio upang makabatid ng bagay na iyan, sukat na an... | —Masama iyang ginagawa ninyo,—ang sabi ni Simoun na masama ang loob;—ang serbesa ay isang mabuting b...","1,11,12,16,17,18,2,21,3,30,31,36,4"
acala,60,¡Ang acala nila'y mga taong may cahulugan na!... | —Ipatawad po ninyo; ngunit sa acala ko'y inyong pinacamahal ang aking ama; ¿maaari po bang sabihin n... | —Sa acala ko'y hindi ako namamali; si Don Rafael Ibarra....,"15,17,19,20,21,22,23,24,25,28,3,30,31,32,34,35,4,42,44,45,46,47,48,49,50,51,52,53,54,58,59,60,7,9"
insic,58,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pam... | Sa panonood ng mga calagayang iyong umaakit sa pagcacagana sa pagcain at naguudyoc ng ucol sa paglas... | —¿Paano po bang matutuclasan pa ng abang iyon ang polvora, ay alinsunod sa sabi'y natuclasan na ito ...","1,10,12,13,14,25,26,27,28,29,30,31,38,4,46,5,55,59,6,62,63,8"
cang,56,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang can... | —ang itinanong na nagtatawa ng palibac ng franciscano, na mula ng pasimulaan ang paghapon ay hindi n... | Dapat cang pasalalawigan, namumutla ka ng mainam at nagcacailangan ka ng mga mabubuting hangin....","1,12,15,21,22,23,24,28,3,31,32,35,36,38,39,40,42,44,45,47,51,54,55,56,58,60,61,63,7"
culay,55,"Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting pani... | Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting pani... | Tunay mang ang pagcacapinta'y hindi nagpapakilala ng ""arte"" at cabutihang lumikha, datapwat nagsasay...","1,16,2,23,24,26,29,30,31,32,38,42,45,5,58,59,6,60,62,63,7,8"
caunti,55,"Tungkol sa mga lalaki'y nangagcacainga'y ng caunti.... | Sa pangguiguilalas ng di ano lamang ni Fr. Damaso ay caunti nang mabitiwan nito ang copa.... | ipatawad po ninyong salabatin ko ang inyong pananalita—anang binata, na idinahan ang voces at inilap...","1,12,13,14,16,18,19,24,25,28,3,30,32,33,34,37,39,40,42,45,46,47,49,55,56,60,8,9"
catungculan,54,"May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na par... | —¿Naparito ba kayong may catungculan?... | Napilitang iwan ng ""alcade"" ang canyang catungculan, hinalinhan siya ng ibang, ayon sa balita'y, mas...","1,11,16,19,22,24,25,29,31,32,34,35,36,37,39,4,40,42,43,45,49,50,53,54,56,58,59,63,7"
catuwiran,53,"Ngayo'y ang may pulang buhoc naman ang natigagal, lalong ikinunot ng teniente ang canyang mga kilay,... | Isang taong gaya niyang may isang anak na lalaking kinabubuhusan ng boong pag-irog at mga pag-asa, i... | Kung naging iba sana ang inyong ama, marahil pagdaca'y nacawala, sa pagka't may isang malicong nagsa...","1,14,19,24,25,28,29,31,33,34,35,37,39,4,40,42,45,49,50,53,58,6,60,61"
manoc,53,"Ang tinola ay ang pinaghalong inahing manoc at saka upo.... | Ngunit ayawan kung sa isang pagcalibang o iba cayang bagay, tumama kay pari Damaso ang isang pinggan... | Ngunit ayawan kung sa isang pagcalibang o iba cayang bagay, tumama kay pari Damaso ang isang pinggan...","1,16,17,20,21,24,26,27,3,34,35,39,4,46,5,52,54,55,58,6,62,63"
civil,53,"kung di ko lamang ikaw nakikilala at natatalastas kung ikaw ay ""lalaki"", sasabihin kung ikaw ay tuna... | ¡Hindi guinugunita ng mga guardia civil ang mga ina!... | Hindi mga tao ang mga guardia civil, sila'y mga guardia civil lamang: hindi nila diniringig ang mga ...","12,17,21,24,27,30,31,35,38,40,41,46,47,49,50,52,53,54,55,56,57,58,59,60"
capitan,52,"Ang tanging sumasalubong sa pagdating ng mga ginoong babae ay isang babaeng matandang pinsan ni capi... | Ang pintuang iyan ng salas, na natatacpan ng isang tabing na sutla ay siyang daang patungo sa isang ... | —Siya nga po, ginoong capitan; natotowa ako sa pagka't may isa akong inaasahan....","1,14,20,24,30,37,43,44,45,49,50,51,54,58,59,6"
bucas,51,"Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang can... | —ang sigaw ng tenienteng nagbabala at wari'y mandin ay nag-uutos sa canyang mga sundalo;—¡o inyong p... | Nababasa sa canyang mukhang bucas at masaya ang caunting bacas ng dugong kastila na naaaninag sa isa...","1,13,14,15,17,2,22,25,26,27,28,3,31,33,34,4,40,44,46,48,49,51,52,53,54,55,58,59,7,8"
malacas,51,"Di caguinsaguinsa'y pinacabigyanbigyan ng suntoc ang palungan ng kamay ng canyang sillon, huminga ng... | Umulan ang mga paratang, isinumbong na siya'y filibustero at hereje: ang maguing ""hereje"" ay isang c... | Ipinagtabuyan, ang canyang caayaayang mga naaalaala ng Jardin Botanico; iniharap sa canyang pag-iisi...","1,10,11,19,23,28,31,32,34,35,36,37,38,39,4,40,42,43,45,49,51,53,54,55,56,57,58,59,63,8"
kinacailangang,51,"Matutubos ng mga buhay ang mga calolowang namatay sa casalanan, sa pagsasalita ng mga nasasaysay sa ... | ""—Datapwat kinacailangang patayin mo ang mga apoy na ito—ang wica ng voces na canyang narinig sa ser... | ""—Datapwat kinacailangang patayin mo ang mga apoy na ito—ang wica ng voces na canyang narinig sa ser...","14,16,18,19,20,21,23,25,26,28,29,31,32,33,34,35,37,41,42,44,45,46,49,50,52,53,55,58"
casalanan,50,"—ang isinalabat ng militar, na nakikita niyang siya'y nabibilot ng gayong caraming mga pag tatangita... | Binibigyang casalanan siya ni pari Damasong hindi raw siya nagcucumpisal: ng una'y dating hindi siya... | Bucod sa rito'y totoong dalisay ang capurihan ni Don Rafael, at higuit ang canyang pagcabanal sa mar...","1,11,14,18,19,20,22,24,29,31,34,35,36,37,39,4,40,44,45,49,50,55,56,57,58,59,61,62"
sacristan,47,Ang sacristan mayor na kalahok sa umpukan ay nagpapatotoong walang kapingaspingas sa tulong ng tango... | Bucod sa roo'y sinasapantaha niyang malaki ang capangyariha't lacas ng Virgen de Antipolo kay sa mga... | Napanood din naman naming ipinakikita ng pari sa mga nakikinig ng sermon sa kanya sa oras ng pagpapa...,"11,14,15,16,17,18,19,24,27,29,30,32,34,38,52,54,55,59,6,63"
capuwa,47,"Baga man hindi sinasadya'y capuwa tumungo ang dalawang fraile sa duyo o ulunan ng mesa, marahil sa p... | Bucod sa rito'y totoong dalisay ang capurihan ni Don Rafael, at higuit ang canyang pagcabanal sa mar... | Ang mga di gumagalang sa religio'y ipinalalagay siyang haling; ipinalalagay siya ng mga dukhang wala...","12,15,19,22,23,25,29,3,30,31,32,33,34,35,4,40,41,44,45,46,49,50,51,53,57,58,59,6,60"
Crispin,47,"—¡Batakin mo ang iyong lubid, Crispin!... | Nag-alambitin sa lubid si Crispin, at narinig sa itaas ang isang daing na mahina, na pagdaca'y natac... | —ang idinugtong ni Crispin;—¡hindi itutulot ng nanay!...","15,16,17,18,21,27,62"
bangca,47,"Sa mga unang sinag ng liwanag na pumupucaw sa tubig nang mga nagkintabkintab na mga lamang-dagat, na... | Macapagtatatag tayo ng isang unahan ng patacbuhan ng mga bangca sa ilog at sa dagatan, patacbuhan ng... | Ngunit namamasid kong ikaw ay namumuhi; howag cang manimdim at hindi macasasama siya sa atin sa bang...","19,20,22,23,24,26,27,28,48,49,50,52,59,60"
sacali't,46,"Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatanda... | sacali't naaakit ikaw ng tugtog ng orquesta, ng ilaw o ng macahulugang ""clin-clan"" ng mga pingga't c... | Ang mga sinasabing ""in corde"" lamang ang macasasakit ng loob: sacali't dating tinataglay ng ""in meat...","1,11,12,14,15,21,25,26,28,34,35,38,4,40,41,42,44,46,47,48,49,50,51,54,56,6,62,63"
magcaroon,46,¡Ganyang caraming mga libro ... sucat na ang magcaroon ng dalawang daling noo....... | ¡Sucat na ang magcaroon ng dalawang daling noo....... | Napatingin na lamang sa kanya si Ibarra't hindi maalaman kung ano ang sasabihin; ang mga iba'y nanga...,"1,11,14,15,19,20,25,26,3,31,33,34,35,36,37,39,41,42,46,49,50,51,57,59,6,63,9"
culang,46,"Pinaglilibacan ang culang palad, na pinagbabayaran ng cahihiyan ang nasisingil na buwis, at nalalama... | Kung naging iba sana ang inyong ama, marahil pagdaca'y nacawala, sa pagka't may isang malicong nagsa... | Ito ang nakikita ng culang palad sa canyang harapan....","10,11,13,18,20,21,22,23,25,27,32,37,39,4,42,45,46,49,5,50,53,54,56,60,61,62,63,8"
nauucol,45,"Namumucod ng di ano lamang sa mga ganitong handang sa mundo'y nauucol, ang sumasapader na mga cuadro... | Datapwat ayon sa anyo ng canyang pananalita'y sa kanya rin nauucol ang upuang iyon, kahi't na sa mun... | "" Casundo niya ang lahat ng mga pinuno, matalino, magaling makibagay at may pagcapangahas, pagka nau...","1,19,20,22,23,24,25,27,28,3,32,34,35,37,38,39,40,42,51,52,53,54,55,59,6"
cawacasa'y,45,"Sa cawacasa'y nayamot ang abang matandang babae, kaya't sinamantala niya ang paglagapac ng isang pin... | —ang sa cawacasa'y nagawang tanong ng boong catimpian ng binata, na tinititigan ng boong pagtataca a... | —Datapwat kung sa cawacasa'y nakinabang naman kayo sa pagpapalit-bayan.......","1,14,19,2,20,21,23,24,25,30,31,33,36,37,38,39,4,40,42,44,47,48,50,52,53,54,55,56,7"
bucod,44,"Hindi ipinalalagay ni Santiagong siya'y ""indio,"" bucod sa roo'y hindi siya nahaharap, at....... | —ang ipinaalaala ni tia Isabel;—bucod sa roo'y lalong mabuti ang bahay natin doon, at saka malapit n... | Sa aking sapantaha'y ikaw ang ""hada"", ang espiritu, ang caayaayang kinacatawan ng aking Bayang kinag...","1,14,18,19,20,22,23,24,25,26,28,29,30,31,32,37,38,42,49,50,53,59,62,7"
bangcay,43,"Tunay mang ang pagcacapinta'y hindi nagpapakilala ng ""arte"" at cabutihang lumikha, datapwat nagsasay... | Ako, ang ibig kong sabihi'y pagka itinatapon ng cura sa canyang libingan ang bangcay ng isang ""herej... | Sa panahong wala si pari Damaso sa San Diego ay inilibing ng coadjutor ang bangcay ng isang taong to...","1,10,11,12,13,14,19,23,32,46,50,55,56,59,62,7"
inaacala,42,"—¿Na kung inaacala ko?... | Napapanood din doon ang isang San Antonio Abad, na may isang baboy sa tabi, at ang isip ng carapatda... | Kung nariringig niyang sinasabing masasama ang mga tunay na lahing filipino, siyang hindi nagpapalag...","1,11,12,14,16,17,20,25,28,35,40,43,44,45,49,50,51,52,53,54,56,59,6,61,62,7,9"
cabuluhan,42,"Sinabi naman sa kanya ng canyang mga causap ang canicanilang mga pangalang humiguit cumulang ang pag... | "" At kasama ng mga iba't ibang paunawa ang mga ganito:—""Ang taong lalong walang cabuluhan sa Filipin... | Sagana ang mga sacsing sabuat, at ang kanilang mga paratang, na sa ibang lugar ay mawawal-ang cabulu...","11,18,19,2,21,22,25,27,3,37,39,4,40,42,47,48,49,50,51,53,54,56,57,6,60,63,9"
gobernadorcillo,42,"¿Ang gobernadorcillo baga kaya?... | —ang tanong ng gobernadorcillo ng palibac, na minamasdan ang dukhang pananamit ng matandang lalaki.... | —¡Nacacapagculang-tiwala sa akin ang asal ng gobernadorcillo!...","11,14,20,22,24,25,26,27,28,29,30,34,35,38,40,46,53,56,57,62"
cawangis,41,"Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysa... | Ang mukha niyang maganda ang tabas, ang canyang mga pagtinging nacalalaguim, ang canyang malalapad n... | Pinacunot ni Doña Victorina, gayon man, ang canyang ilong; ngunit caracaraca'y lumingong malaki ang ...","1,15,18,19,20,24,25,27,28,29,3,32,34,38,39,41,42,45,46,47,5,57,58,6,60,61,62,8,9"
wica,41,"—Guinagamit ko po ang wica ng lupaing aking pinaglalacbayan, ginoong babae.... | —ang tanong ng dominicong natira sa Hongkong at totoong marunong ng ""Pidggin-English"", iyang halo-ha... | ¿Ano po ang wica ninyo?...","11,13,14,16,17,18,19,21,24,25,27,29,3,31,32,34,35,37,39,4,51,53,55,7,9"
sacerdote,40,"—ang tugon ni P. Sibyla—Ang General ay makatataya ng maibigang itaya, ngunit kami, mga pari, mga sac... | Dapat nating ibucod sa mga pananalita ni Fr. Damaso ang mga pananalita ng tao sa mga pananalita ng s... | Ang mga pananalita ng sacerdote, sa canyang pagcasacerdote, ""per se"", ay hindi macasasakit ng loob k...","1,11,14,16,19,2,24,25,30,31,32,34,36,4,40,43,49,50,54,6,61,63,7,8,9"
pagdaca'y,40,"Ang mga babae ay ilang mga dalagang ang iba'y filipina at ang iba'y española: binubucsan nila ang bi... | Ang mga babae ay ilang mga dalagang ang iba'y filipina at ang iba'y española: binubucsan nila ang bi... | Tumiguil na sandali ang dalawang extranjerong nangagpapasial, nangagtinginan, ipinakitang saglit ang...","1,10,15,16,17,19,22,25,27,3,30,34,35,37,4,42,46,50,52,53,56,59,6,60,63,7"
tacot,40,"Hindi lumalapit sa kanya kailan man si Kapitang Tiago, sa tacot na baka maghimala.... | Pagka ako'y naghihingalo na, ihahandog ko sa kanya ang aking cataohang walang camunti mang tacot; ga... | Bahagya na ang patlang ng dagundong ng mga culog, at pinangungunahan bawa't culog ng cakilakilabot n...","14,15,16,17,19,21,25,27,32,33,34,35,36,39,45,46,49,54,55,58,59,6,61,62,63"
caunting,39,"Nababasa sa canyang mukhang bucas at masaya ang caunting bacas ng dugong kastila na naaaninag sa isa... | Nakita ng franciscano ang lahat ng ito, dinurog ang mga upo, humigop ng caunting sabaw, pinatunog an... | —ang sagot ng militar na may caunting pangguiguilalas....","10,14,17,2,22,23,25,27,28,3,31,33,4,42,43,46,49,50,51,52,59,60,62,7"
caisipan,39,"Ang lalong mataas na oficial sa Filipinas, ayon sa caisipan ng mga fraile, ay totoong malaki ang cab... | Inihihip ng catahimican ang canyang hungcag na hininga sa Maynila, at wari mandi'y natutulog ang lah... | Sa mga sandaling yaon, pagka nagcacawatasan ang dalawang linikhang sumasaligaya sa kilos ng mga bali...","13,14,16,19,20,23,24,25,26,28,29,3,30,33,34,35,37,38,42,49,5,58,59,60,7"
camahalan,38,—Itulot po ng mga camahalan ninyong magsaysay ako tungkol sa isang bagay na totoong mahalaga—anya.... | Itulot nga ninyong ako ang maunang magsalita sa pulong na itong kinakikitaan ko ng mga nalilimping t... | —Inihandog ko sa pagcaamis ang pag-ibig ko sa aking sarili upang magtagumpay lamang ang magandang ca...,"20,24,25,31,34,37,42,47,49,58"
pagtataca,37,"—ang sinabi pagkatapos ng boong pagtataca.... | —ang sa cawacasa'y nagawang tanong ng boong catimpian ng binata, na tinititigan ng boong pagtataca a... | —ang saysay ni Fr. Damaso, na siya'y minamasdan ng boong pagtataca—¡Pumarito sa sariling gugol at sa...","1,12,13,14,18,2,20,22,23,24,31,34,35,37,39,40,42,43,46,47,49,51,55,56,61,62"
magcagayo'y,37,"—Ng magcagayo'y ng magbalic ang curang ito sa bayan, pagkatapos na maalipusta ang coadjutor, ang gin... | "" Pinagdimlan ng galit, at sa pagka't hindi siya mang-abot, sa kanila'y inihalibas ang canyang basto... | Nangyari ang caugalian, nakialam ang justicia, piniit ang inyong ama, at ng magcagayo'y nangagsilita...","1,15,20,21,23,24,25,31,32,34,36,4,40,43,44,46,50,51,54,55,56,6,60,61,63,7,9"
cagalingan,37,"Ang mga pagtitiis ng hirap, ang mga sama ng loob, ang mga pagdaralita sa bilangguan, o ang canyang p... | Sa aking sapantaha'y ikaw ang ""hada"", ang espiritu, ang caayaayang kinacatawan ng aking Bayang kinag... | Matutubos ng mga buhay ang mga calolowang namatay sa casalanan, sa pagsasalita ng mga nasasaysay sa ...","14,16,19,25,26,29,33,34,35,38,4,45,49,50,53,54,58,59,60,7"
catahimican,36,"Untiunting nanag-uli ang capisanang iyon sa dating catahimican.... | Inihihip ng catahimican ang canyang hungcag na hininga sa Maynila, at wari mandi'y natutulog ang lah... | Ngunit hindi nacababagabag ng canyang pagtulog ang lahat ng ito; hindi nacaliligalig ng canyang cata...","1,13,19,20,23,24,25,27,29,30,31,32,34,37,39,40,45,46,49,5,50,53,54,58,59,6,60,7"
cahulugan,36,"¡Ang acala nila'y mga taong may cahulugan na!... | Mga cuadrong pintado ng oleo ng mga artistang taga Paco at taga Ermita, na ang naroroo'y ang mga pag... | —Malaon pang totoo bago manaog ang ating Panginoong Jesucristo'y may Purgatorio na, at ito'y na sa c...","14,19,20,24,25,28,29,3,31,32,33,34,37,39,42,49,50,51,56,58,6"
imic,36,"Huminto ang matanda ng pananalita upang magpahinga, at ng canyang mahiwatigan ang hindi pag-imic ng ... | Walang imic na hinigpit na mairog ni Ibarra ang payat na kamay ng Teniente, at hindi cumikibo'y sinu... | Nangangahas na maminsanminsan ang mga batang lalaking mangagsiparoong may mga dalang panghampas at m...","10,17,18,20,21,23,24,25,33,34,35,39,4,42,43,45,48,49,50,56,57,58,59,60,62"
Pecson,35,"Ang lahat ng ito’y sinasagot ng di nasisiyahang loob na si Pecson,—isang matabang kung tumawa’y anim... | ¿Ibig baga ninyong turan sa akin, Pecson, kung ano ang pinanunulayan ninyo sa pagsasabing walang sar... | —Hindi iyan ang sinasabi ko, Sandoval—ang sagot ni Pecson na sa pagtawa’y ipinatatanaw halos ang kan...","14,21,22,25,32"
paglacad,35,"Taglay iyang paglacad na hindi nangagcacawangis ang hacbang, na siyang nagpapakilala sa natitilihan ... | Kaya nga't ipinalalagay ng mga punong macapangyarihang siya'y isang magaling na tao, cagandagandahan... | Hindi pinapansin ng mga taong nagdudumaling dumaraan ang bagay na iyon; nagdaraan ang mga babae, tin...","10,11,13,18,21,23,24,27,34,36,37,39,4,41,42,43,45,50,51,53,54,56,59,6,8"
cata,34,"Kung sa aking kaibigan lamang at sa aking sariling caguinhawahan, hindi cata papagalin sa pagsasaysa... | Nang magcagayo'y tinangnan ko ang iyong kamay at ang kamay ng aking ina, nanumpa akong sisintahin ca... | at pumasoc ako sa beaterio, lagui nang naaalaala cata at hindi ko ikaw nilimot, baga man ipinag-utos...","1,12,15,17,28,31,32,39,43,51,58,59,60,61,62,7,9"
franciscano,34,"Baligtad ang isa namang fraile, na franciscano, totoong masalita at lalo ng mainam magcucumpas.... | Ang isa sa mga paisano'y isang taong malingguit, maitim ang balbas at walang ikinatatangi kung di an... | —Makikita rin ninyo—ang sabi ng franciscano—pagka po kayo'y natirang ilang bowan dito, kayo'y manini...","1,13,2,29,3,32,34,35,37,38,40,5,51,59,6,61,9"
calooban,33,"Sa panonood ng mga calagayang iyong umaakit sa pagcacagana sa pagcain at naguudyoc ng ucol sa paglas... | sa pagka't ayon sa makikita natin sa mga susunod dito, hindi casucatang magcaroon ang tao ng maganda... | Ipinagtabuyan, ang canyang caayaayang mga naaalaala ng Jardin Botanico; iniharap sa canyang pag-iisi...","1,11,14,19,20,21,23,24,25,30,31,33,37,39,40,41,42,44,45,53,6,60,63,8"
curang,33,"Hindi ko pa nauunawang magaling ang wikang tagalog, gayon ma'y kinucumpisal ko na ang mga babae at n... | —Ng magcagayo'y ng magbalic ang curang ito sa bayan, pagkatapos na maalipusta ang coadjutor, ang gin... | Sa cadahilanan ding ito marahil kaya may nakikitang mga insic na di binyagan at sampong mga castilan...","1,10,12,13,15,17,18,20,22,24,25,26,27,30,31,34,40,51,54,56,6,62,7"
musica,33,"Hindi ko pa nauunawang magaling ang wikang tagalog, gayon ma'y kinucumpisal ko na ang mga babae at n... | Ang humalili sa akin ay hindi totoong nagtagal na gaya ko, at ng siya'y umalis ay lalo ng marami ang... | Nangamatay ang mga ilaw ng catapat na bahay, huminto ang musica at ang caingayan, ngunit naririnig p...","1,14,20,21,23,26,27,28,29,30,32,34,38,39,40,5,51,59,7"
canicanilang,33,"May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na par... | Sinabi naman sa kanya ng canyang mga causap ang canicanilang mga pangalang humiguit cumulang ang pag... | Kung nasusunduan ng abogadong mawalang cabuluhan ang kanilang mga bintang, sa pagpapakilala ng pagca...","1,10,19,2,20,21,26,29,34,35,38,4,40,42,46,47,5,50,52,53,59,7,9"
sucat,33,"¡Ganyang caraming mga libro ... sucat na ang magcaroon ng dalawang daling noo....... | —ang sinabi't sucat ng isang binata at bahagya ng yumucod.... | Hinihintay ni Kapitang Tiago na bawa't araw ay titiguil ng paghinga ang matandang babaeng ito, o mat...","1,19,2,20,21,24,25,26,27,28,29,32,33,34,35,39,40,45,49,51,53,54,55,58,59,6,60"
caming,33,"Sa casaliwaang palad, caming mga castilang naparito sa Filipinas ay hindi namin inuugali ang marapat... | —Naalis ang pagcapaco ng cabaong, umaalingasaw ... at mapilitan cang pasanin mo ang cabaong na iyon,... | —¡Aayaw po caming paalisin ng sacristan mayor hanggang hindi tumutugtog ang icawalong horas—ang sago...","12,14,21,24,28,32,37,38,4,40,46,50,51,53,54,57,58,62,63"
