token,frequency,capitalized_count,pattern_match,modern_suggestion,confidence,auto_action,sample_contexts
consul,3,0,C_TO_K,konsul,HIGH,REVIEW,"['23: Ang pangalan ni Quiroga ay paulit-ulit na nadidingig, na kahalo ng mga salitang consul, pagpapantaypantay, mga karapatan....', '45: Si Simoun ay ngumiti ng ngiti niyang malamlam, at sa dahilang nakitang sumasalubong din si intsik Quiroga ay iniwan ang mga madainging mangangalakal upang batiin ang magiging consul.', '54: Nabalitang ang General ay nakagalit ng Condesa: na ito’y naninirahang madalas sa mga bahay liwaliwan; na ang marangal na pinuno ay nabugnot; na ang consul ng mga pranses ay gayon, na nagkaroon ng mga handog, at iba pa.']"
procurador,3,0,C_TO_K,prokurador,HIGH,REVIEW,"['52: At akay ng isang kasawian at parang sa usapin ay natataya ang kaniyang kabuhayan sa araw ng bukas at ang sa kaniyang mga anak, ay ginugol ang kaniyang naiipon sa pagbabayad sa mga abogado, escribano at procurador, na hindi pa kabilang dito ang mga kawani at mga taga-sulat na sinasamantala ang kaniyang kamangmangan at kalagayan.', '56: Ngunit siya’y inaantay ni kabesang Andang upang pagsabihan ng binalak: ang matandang babae’y patutulong sa procurador ng mga agustino upang mapawi ang pagkamuhi ng mga dominiko sa kaniyang anak.', '182: Nang tinuran nito sa kaniya na makikiusap sa procurador ng mga agustino ay hindi tumutol ni humadlang man lamang; kundi bagkus pa ngang humandog na siya na ang gagawa upang maibisan ng kagambalaan ang kaniyang ina na pinamanhikang bumalik na kaagad sa kanilang lalawigan at kung mangyayari’y sa araw ding yaon.']"
kasuotan,3,0,UO_TO_O,kasotan,MEDIUM,REVIEW,"['36: Siya, ang dahil sa nadingig sa Madrid ang pag-uusap ng ukol sa mga daang nilalatagan nang kahoy sa Paris, na noon ay hindi pa ginagawa sa España, ay nagpalagay na gawin sa Maynila, sa paraang maglatag ng mga tabla sa mga lansangan at ipagpako na gaya ng nakikita sa mga bahay-bahay; siya, ang dahil sa mga kasawiang nangyayari sa mga sasakyang dadalawa ang gulong, at upang maiwasan, ay ipinalagay na magtaglay ng tatlo man lamang; siya rin naman, ang samantalang gumaganap sa pagka pangalawang pangulo ng Junta de Sanidad ay nakaisip na wiligan ng panglinis ang lahat ng bagay, sampu ng mga balitang pahatid kawad na galing sa mga bayang may sakit na nakahahawa; siya rin ang, sa pagkahabag sa mga presidiario na nangagsisigawa sa init ng araw at sa pagnanasang makapagtipid ang Pamahalaan sa paggugol sa mga kasuotan noon, ay ipinalagay na suotan na lamang ng isang bahag at pagawin sa gabi at huwag sa umaga.', '14: Ang lalong katangitangi sa taong iyon ay hindi ang kaniyang kasuotan, ni ang kaniyang mukhang taga Europa na walang balbas ni bigote, kundi ang kulay niyang saga, kulay na naging sanhi ng tawag na Camaroncocido, na siyang bansag sa kaniya.', '15: Ang anyo niya’y walang kapara: anak ng isang mabuting lipi, ngunit siya’y nabubuhay sa pagbubulagbul, sa panghihingi ng limos; lahing kastila, ay hindi pinahahalagahan ang karangalang lahi na inaalipusta sa pamag-itan ng kaniyang gulagulanit na kasuotan, ipinalalagay siya ng lahat na wari’y tagapamalita sa mga pahayagan, at tunay nga namang ang kaniyang matang malalaki’t abuhin, na malamlam at waring mapagnilay kung tumingin, ay naroon saan ma’t may bagay na maibabalita.']"
condecoracion,3,0,C_TO_K,kondekoracion,HIGH,REVIEW,"['108: Kung hangga ngayon ay hindi pa napasisiyahan ang kasulatan ay dahil sa alam kong may maraming gawaing naiimbak; ngunit inaakala kong ang pag-uusig ay nagtagumpay, na ang sanhi ng tipan ni Makaraig ay upang ibalita sa atin ang pananalo, at bukas ay makikita nating magtatamo ang ating mga pagsusumikap ng papuri at pagkilala ng bayan, at sino ang makapagsasabi, mga ginoo, kung hindi ipalagay ng pamahalaan na kayo’y dulutan ng mabuting condecoracion dahil sa kayo’y karapatdapat sa kapurihan ng inyong bayan!', '109: Nag-umugong ang masisigabong pagakpakan; naniniwala na ang lahat sa pananalo at ang marami sa condecoracion.', '112: —¡Pag hindi nagkaroon tayo ng condecoracion sa binti!']"
cadete,3,0,C_TO_K,kadete,HIGH,REVIEW,"['62: Isang araw na kasama ng mga “colegial” sa paglilibot ay nakagalit ng ilang “cadete”, na, naging sanhi muna ng simulang pag-aaway at pagkatapos ay paghahamunan.', '13: Sa dakong malayo-layo ay nangakahalang sa bangketa ang dalawang cadete na nakikipag-usap sa isang kawani ng isang tindahan, na nakabaro’t walang amerikana; tinungo sila ni Placido Penitente upang buksan ang daan, ngunit ang mga cadete na masasaya at nakahalata sa masamang tangka ng binata ay nangagsilayo.', '13: Sa dakong malayo-layo ay nangakahalang sa bangketa ang dalawang cadete na nakikipag-usap sa isang kawani ng isang tindahan, na nakabaro’t walang amerikana; tinungo sila ni Placido Penitente upang buksan ang daan, ngunit ang mga cadete na masasaya at nakahalata sa masamang tangka ng binata ay nangagsilayo.']"
qui,3,0,QU_TO_K,ki,HIGH,REVIEW,"['80: qui parle de Serpolette?', '99: Et moi qui t’croyais....', '119: Ang masasabi ko upang kayo’y maniwala, ay, na ang kasiraang tinataglay ninyo ay hindi nararapat na ibintang sa amin ni sa pamahalaan; iyan ay nasa sa di wastong pagkakatatag ng aming kapisanan, qui multum probat, nihil probat, na nasasawi sa kahigitan sa pag-iingat, kakulangan sa kailangan at lampas doon sa kalabisan.']"
eclesiastico,3,0,C_TO_K,eclesiastiko,HIGH,REVIEW,"['49: —Ngunit kayo, na siyang gobernador eclesiastico, ang kahalili ng Arsobispo, ¿ano ang gagawin ninyo kung sa inyo mangyari ang bagay na iyon?', '181: Nakikinikinita ko sa bagay na iyan ang espiritismo, sapagka’t kailan man ay gumagamit ng mesa ang mga espiritista, at sa akala ko’y sapagka’t gobernador eclesiastico si Padre Salvi ay dapat niyang ipagbawal ang pagtatanghal.', '178: ; dalidaling pumanaog ang isang utos ng gobernador eclesiastico na pinipigil ang mga palabas; ngunit wala na si Mr.']"
quia,3,0,QU_TO_K,kia,HIGH,REVIEW,"['71: Kung ang pamukha ay siyang salamin, ay iba sa kabagayan ng salamin ang ano mang nalalagay sa likuran, sa dahilang ang nasa likod ay hindi makapagbabago sa nasa sa harapan, id est, ng ibabaw, quae super faciem est, quia vocatur superficies facies ea quae supra videtur; pinaayunan mo o hindi?', '68: —¡Memento, homo, quia pulvis es!', '60: Credo quia absurdum, ang sabi ni San Agustin.']"
nagsuot,3,0,UO_TO_O,nagsot,MEDIUM,REVIEW,"['21: —Ngunit ¿saan baga kayo nagsuot?', '107: Hinudyatan nito ang binata, iniwan nila ang daan at nagsuot sa isang palikawlikaw na landas at mga daanang pagitan ng ilang bahay; kung minsa’y nangagsisitalon sa maliliit na bato upang iwasan ang mumunting putikan at kung minsa’y yumuyuko upang dumaan sa bakod na masama ang pagkakayari at lalo pa manding masama ang pagkakaingat.', '77: Mga lalaking madidilim ang mukha, mga hukot, mga di mapalagay at hindi mawasto at masama ang pagkakabalatkayo ng suot, na wari’y noon lamang nagsuot ng americana.']"
predicador,3,0,C_TO_K,predikador,HIGH,REVIEW,"['119: Walang kapingaspingas si Pecson ay nag-angtanda, tumindig na pinipilit pigilin ang kaniyang tawang hangal, ginayahan ang isang predicador na agustino, na noo’y nababantog, at nagsimula sa pagbulong na wari’y sinasabi ang laman ng sermon.', '8: Testiga, gaya nang sabi nang isang maalindog na predicador, ang aklatan sa Alejandria!', '3: Ang mga pamahayagan sa Maynila ay nangalululong sa pagsasalaysay ng ukol sa isang nabunyag na patayang nangyari sa Europa, sa mga pagpupuri at pagbibigay karangalan sa ilang predicador sa Maynila, sa lalo’t lalo pang masigabong pagtatatagumpay ng operetang pranses, kaya babahagya nang makapaglaan ng gayon o ganitong balitang ukol sa mga katampalasanang ginagawa sa mga lalalawigan ng isang pulutong ng tulisan na pinangunguluhan ng isang pinunong mabangis at ganid na nagpapamagat na Matanglawin.']"
cosa,3,0,C_TO_K,kosa,HIGH,REVIEW,"['40: cosa?', '57: At inulit sa wikang tinda, ng mabait na katedratiko, ang katanungan na linahukan sa bawat sandali ng mga cosa at aba.', '84: ¿Y cosa de jase Paulita?']"
cuacha,3,0,C_TO_K,kuacha,HIGH,REVIEW,"['131: Si Tadeo ay pumaparoon araw araw sa Unibersidad upang itanong kung may pasok at tuwi na’y nagtataka kung bakit may pasok: mayroon siyang hinalang may isang cuacha na panay at walang katapusan at inaantay niyang dumating sa bawat sandali.', '71: Tila mangyayari din ang walang katapusang cuacha.', '3: Si Pecson, si Tadeo at si Juanito Pelaez ay pawa ring nangapigil; tinanggap ng una ang mga kalabasa na taglay ang kaniyang tawang hangal at nangakong papasok na opisial sa alin mang hukuman; si Tadeo, na natagpuan din ang walang katapusang cuacha, ay nagdaos ng isang pag-iilaw na ang ginagawa’y sinigan ang kaniyang mga aklat; ang iba’y hindi rin nangakaligtas na mabuti, kaya’t nangapilitang iwan ang kanilang mga pag-aaral, sa gitna ng kasiyahang loob ng mga ina, na kailan pa ma’y nangakakinikinitang ang kanilang mga anak ay bitay pag nangakaalam ng sinasabi ng mga aklat.']"
exequias,3,0,QU_TO_K,exekias,HIGH,REVIEW,"['5: kung ating ipagkakait ang exequias sa mga namamatay ng hindi nagkukumpisal, ay malilimutan natin ang De profundis!', '47: Ang mga exequias nga ay ginawa ng buong dingal.', '50: Si aling Patrocinio, ang dating katunggali ni kapitang Tiago sa pagkamasambahin, ay tunay na tunay na nagnasang mamatay naman sa kinabukasan upang makapagpagawa ng mga exequias na lalo pang malaki kay sa roon.']"
condesa,3,0,C_TO_K,kondesa,HIGH,REVIEW,"['98: Batid nang ang una, sa dahilang siya’y Vice-Rector, ay laban sa panukala, at ang pangalawa ay kumakatig at kinakatigan naman ng condesa.', '211: —Iyan ang sinabi ko sa inyo, mayaman...... iniluluhog ng condesa na inyong tingnan.', '21: Si Padre Irene, si Padre Fernandez, ang condesa, isang mangangalakal na nakakikinikinita nang makapagbibili ng kagamitang ukol sa bagong Akademia at ang mataas na kawaning nagtukoy ng iba’t ibang kapasiyahang-hari ay mangagtatagumpay na sana, ng ipinaalaala ni Padre Sibyla, upang magkapanahon, ang Kataastasang Lupon.']"
cojera,3,0,C_TO_K,kojera,HIGH,REVIEW,"['6: “Minamahal kong Capellan: Katatanggap ko pa lamang ng isang telegrama ng komandante na ang sinasabi’y: español escondido casa Padre Florentino cojera remitira vivo muerto.', '14: Hindi siya napigil ni Padre Florentino: walang nahita sa pagpapaliwanag sa kaniya na ang ibig marahil sabihin ng salitang cojera ay cogera; na ang kastilang nagtatago ay hindi mangyayaring si Don Tiburcio kundi si Simoun, na may dalawang araw pa lamang na kararating, na sugatan at waring pinag-uusig, na huminging patuluyin.', '15: Si Don Tiburcio ay hindi napahinuhod; ang cojera ay ang kaniya ngang pagkapilay, ang tanda niya sa katawan: yaon ay pakana ni Victorina na ibig siyang matagpuang patay o buhay, gaya ng isinulat ni Isagani buhat sa Maynila.']"
isinuot,3,0,UO_TO_O,isinot,MEDIUM,REVIEW,"['20: Ang suot ni Paulita Gomez ay baro’t panyong pinya na binurdahan, iba kay sa isinuot ng umagang iyon sa pagparoon sa Sto.', '126: Siya’y nag-ayos, isinuot ang kaniyang pinakamabuting gayak at wari pa manding siya’y may malaking hangad.', '7: ” Ipinalagay ang ginawa ni Padre Irene na pagpasok sa ilalim ng dulang na “biglang udyok ng likas na katapangan, na hindi napaglubag ng habito ng isang Dios ng kapayapaan na isinuot buong buhay”, tinangka ni Padre Irene na habulin ang nagkasala at sa pagbagtas niya nang patuwid ay dumaan sa silong ng dulang.']"
consecuentiam,2,0,C_TO_K,konsekuentiam,HIGH,REVIEW,"['96: —¡Nego consecuentiam, Padre!', '98: —¡Aha, kung gayo’y probo consecuentiam!']"
matricula,2,0,C_TO_K,matrikula,HIGH,REVIEW,"['18: Datapwa’y upang mapagkilala ang katotohanan ay sasabihin namin, na sa Gabineteng ito nag-aaral ang tatlo o apat na pung pumapasok sa ampliacion sa ilalim ng pamamahala ng isang nagtuturong gumaganap naman ng mabuti sa kanyang tungkulin; ngunit sa dahilang ang lalong marami sa mga nag-aaral ay galing sa Ateneo Municipal na ang pagtuturo doon ay sa pagsasanay sa loob ng Gabinete, ay wala ring malaking kabuluhan ang gayong pangyayari na di gaya nang kung ang makasamantala noon ay ang dalawang daa’t limang pung nagbabayad ng kanilang matricula, bumibili ng aklat, nangag-aaral at gumugugol ng isang taon at walang namumuangan pagkatapos.', '9: Si Padre Irene ang inihalal ni kapitang Tiago na kaniyang albacea at gaganap ng kaniyang mga habilin, at iniiwan ang bahagi ng kaniyang kayamanan sa Sta. Clara, ang bahagi ay sa Papa, sa Arsobispo, sa mga Corporaciones, at nag-iwan ng dalawang pung piso upang ipagbayad ng matricula ng mga nag-aaral na maralita.']"
carabineros,2,0,C_TO_K,karabineros,HIGH,REVIEW,"['146: nakalagda na rito ang dalawang carabineros celestiales ¿ano pa ang ikatatakot mo?', '147: Ang pangalang carabineros celestiales ay nakapagbibigay tiwala.']"
carrera,2,0,C_TO_K,karrera,HIGH,REVIEW,"['97: At yayamang hindi mapipigil na mag-aral ang kabataan at dito’y wala na namang ibang carrera ¿bakit babayaang masayang ang kanilang panahon at pagsisikap?', '110: Palagi ninyong aalalahanin na ang lalong wastong paglingap ay ang lingapin muna ang sarili; walang dapat hanapin ang tao sa mundo kundi ang lalong malaking kaligayahan ng kaniyang sarili, gaya ng sabi ni Bentham; pag kayo’y nanghimasok sa mga kaululan, ay hindi kayo magkakaroon ng carrera, ni hindi kayo magkakaasawa, ni hindi kayo magiging anoman.']"
vobiscum,2,0,C_TO_K,vobiskum,HIGH,REVIEW,"['214: —Sa Basiliong iyan ay wala akong masasabi—ang tugon ni Padre Irene na itinaas at ibinuka ang mga kamay na waring mag dodominus vobiscum;—sa ganang akin iyan ay tubig na hindi kumikilos.', '56: hindi iyan; dominus vobiscum ang sinasabi ko sa iyo at ang isinasagot mo sa akin ay requiescat in pace!']"
cuadro,2,0,C_TO_K,kuadro,HIGH,REVIEW,"['123: —Sira daw ang bubungan—ang sagot ng kalihim—at sa dahilang bumili siya ng mga mapa at cuadro, sa sariling gugol, ay hindi mapabayaang ulani’t arawin......', '15: Yaong isa na may kagulangan na at sinisiyasat na malapit na malapit ang mga bagay bagay, ang mga lampara, at mga cuadro, at iba pa.']"
consulado,2,0,C_TO_K,konsulado,HIGH,REVIEW,"['1: Nang kinagabihan ng Sabado ring yaon, ang intsik na si Quiroga na nagnanasang makapagtatag ng isang consulado ng kaniyang bansa, ay naghanda ng isang hapunan sa itaas ng kaniyang tindahan na nasa daang Escolta.', '48: Nababalitang inaayunan ni Simoun ang mga hangarin ng intsik, kasang-ayon sa ukol sa consulado, at sa gitna ng mga banggitin, mga parunggit at mga puntos suspensivos ay tinukoy na siya ng isang pamahayagang laban sa intsik, sa isang nabantog na pakikipagsagutan sa isang kasamang kampi sa mga may buhok.']"
kabuoan,2,0,UO_TO_O,kaboan,MEDIUM,REVIEW,"['4: Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa taglay niya ang sadyang ugali ng mga bagay-bagay ng bayan, isang wari’y tagumpay na laban sa pagkakasulong, isang bapor na hindi tunay na bapor ang kabuoan, isang sangkap na hindi nagbabago, hindi ayos ngunit hindi mapag-aalinlanganan, na, kung ibig mag-anyong makabago ay nasisiyahan na ng buong kalakhan sa isang pahid ng pintura.', '8: Manga putok ng botella ng Champagne, bungguan ng mga kopa, tawanan, usok ng tabako at isang tanging amoy ng bahay intsik, na may halong pebete, apian at mga imbak na bungang kahoy ang nagiging kabuoan ng lahat ng iyon.']"
cabesa,2,0,C_TO_K,kabesa,HIGH,REVIEW,"['97: —Aba, ñora, porque ’talla el mana prailes y el mana empleau—ang sagot ng isang lalaki—’ta jasi solo para ilos el cabesa de espinge.', '101: ¿querida ba de prayle el cabesa?']"
copa,2,0,C_TO_K,kopa,HIGH,REVIEW,"['12: Ang Buena Tinta ay galing sa kaniyang pakikipagkaibigan kay Ben-Zayb, nang ito, sa dalawang matunog na pakipagtunggali na inabot ng buwanan at lingguhan sa mga tudling ng pahayagan ukol sa kung nararapat o hindi gumamit ng sombrerong hongo, de copa o salakot, at kung ang paggamit ng ukol sa marami ng salitang caracter ay dapat maging caracteres at hindi caracteres, upang patibayan ang kaniyang mga pangangatwiran ay lumulusot kailan man sa mga salitang “constanos de buena tinta”, “lo sabemos de buena tinta” at iba pa.', '24: Maliit, lubhang maliit, natatakluban ang ulo ng isang sambalilong de copa na naging isang uod na may balahibo, at napapaloob sa isang maluwang na lebita, lubhang maluwang at napakahaba hanggang sa mapantay sa isang salawal na napakaikli na hindi lumalampas sa binti.']"
cubiertos,2,0,C_TO_K,kubiertos,HIGH,REVIEW,"['58: Doo’y wala kun di pipitong cubiertos; ang mga kagamitan ay pawang pilak, ang mga mantel at serbilyeta ay manipis na lino, ang mga alak ay yaong lalong pinakamahal at masarap.', '177: Binitiwan ang kanilang mga cubiertos.']"
lacayo,2,0,C_TO_K,lakayo,HIGH,REVIEW,"['102: —Kapag balang araw ay nakapagsarili na kayo,—ang sabing natutubigan sa indiong lacayo na nagbukas ng pintuan ng sasakyan,—ay alalahanin ninyo na sa España ay hindi nagkulang ng mga pusong tumibok ng dahil sa inyo at nakitunggali ng dahil sa inyong mga karapatan!', '104: —ang sagot ng lacayo na hindi siya napakinggang mabuti at itinatanong kung saan sila paparoon.']"
isusuot,2,0,UO_TO_O,isusot,MEDIUM,REVIEW,"['41: Sa ibang pulutong ang lalong mahabang salitaan ay ukol sa patay; ang pinagtatalunan ay ang damit na isusuot sa bangkay.', '64: di bigyan mo ako ng mga panabing na tig lalabing dalawang piso ang isang bara at tingnan mo kung isusuot ko ang mga basahang ito!']"
queda,2,0,QU_TO_K,keda,HIGH,REVIEW,"['74: no jabla vos puelte, ñora, baka pa de queda vos complice.', '78: —¿Ta queda dice preso Isagani?']"
conmigo,2,0,C_TO_K,konmigo,HIGH,REVIEW,"['72: No pa ta paga conmigo su deuda.', '75: ¡Ya quema yo nga el libro que ya dale prestau conmigo!']"
cogi,2,0,C_TO_K,kogi,HIGH,REVIEW,"['67: —¿Ya cogi ba con Tadeo?', '79: —Loco-loco tambien aquel Isagani,—ang sabing namumuhi ng nag-aaral;—no sana de cogi con ele, ta anda pa presenta!']"
