token,frequency,capitalized_count,lowercase_count,sample_contexts
Ginoong,32,32,0,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '277: —¡Ginoong Ibarra, hinahangad kong makilala ko po kayo; kaibigan kong matalic si Kapitang Tiago, nakilala ko ang inyong ginoong ama ...', ""311: —Ginoong teniente, dito'y na sa mundo po tayo at wala sa sambahan; nararapat po sa inyo ang umupo rito.""]"
Santiago,20,20,0,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '316: —¡Bakit po, Don Santiago!', '628: Ng magtatamo na si Santiago ng caligayahang siya\'y tawaguing ""logico"", sa macatuwid baga\'y ng siya\'y mag-aaral na ng ""Logica"", ang pagkamatay ng sa kanya\'y nagtatangkilic, na sinundan ng pagkamatay ng kanyang ama, ang siyang nagbigay wacas ng kanyang mga pag-aaral, at ng magcagayo\'y napilitang siyang mangasiwa sa paghahanap-buhay.']"
de,103,0,103,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '16: Ganito ang saysay ng doo\'y titic: ""Nuestra Señora de la Paz y Buen Viaje, na sinasamba sa Antipolo, sa ilalim ng anyong babaeng magpapalimos, dinadalaw sa kanyang pagkakasakit ang banal at bantog na si Capitana Ines"".', '19: Nasasalas ang mangagsisicain, sa gitna ng lubhang malalaking mga salamin at na ngagniningning na mga araña: at doon sa ibabaw ng isang tarimang pino ay may isang mainam na ""piano de cola"", na ang halaga\'y camalacmalac, at lalo ng mahalaga ng gabing ito, sa pagka\'t sino ma\'y walang tumutugtog.']"
los,12,0,12,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '607: Kaya nga\'t ipinalalagay ng mga punong macapangyarihang siya\'y isang magaling na tao, cagandagandahan ang puso, payapa, mapagpacumbaba, masunurin, mapagpakitang loob, na hindi bumabasa ng ano mang libro o periodicong galing sa España, baga man magaling mag-wikang kastila; ang tingin sa kanya, nila\'y tulad sa pagmamasid ng isang abang estudiante sa gasgas na tacon ng kanyang luma ng zapato, pakiling dahil sa anyo ng kanyang paglakad:—Naguiguing katotohanan, sa kalagayan niya, ang casabihan ng mga cristianong ""beati pauperis spiritu"" at ang caraniwang casabihang ""beati possidentes"", at mangyayaring maipatungcol sa kanya yaong mga sabing griego na anang iba\'y mali ang pagkakahulog sa wikang kastila: ""¡Gloria a Dios en las alturas y paz a los hombres de buena voluntad""!', '2520: Ang acala ng marami siya\'y nabibilango dahil sa ginawa niya kay pari Salvi ng hapon ng araw ng ""Todos los Santos"".']"
Santos,7,7,0,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '2520: Ang acala ng marami siya\'y nabibilango dahil sa ginawa niya kay pari Salvi ng hapon ng araw ng ""Todos los Santos"".', '2790: Niyong araw na bago mag ""Todos los Santos"" ang cahulihulihang pagkapandaw nito.']"
na,7020,0,7020,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.""]"
lalong,310,0,310,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""1: Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."", '3: Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila\'y malalaon ng kaibigan, o kung magcatao\'y humingi pang tawad na hindi nacadalong maaga.']"
nakikilala,31,0,31,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '52: Howag kayong tumutol sa akin ng alinsunod sa mga karunungan at sa mabubuting pananalita, nakikilala ko ang ""indio"".', ""63: May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na parang siya'y aking ipinanganac at pinasuso: nalalaman ko kung alin ang mga lisyang caasalan nito, kung ano ang pinangangailangan niyon, kung sino ang nangingibig sa bawa't dalaga, kung ano anong mga pagkadupilas ang nangyari sa babaeng ito, kung sino ang tunay na ama ng batang inianac, at iba pa; palibhasa'y kinucumpisal ko ang calahatlahatang taong-bayan; nangag-iingat ng mainam sila sa canicanilang catungculan.""]"
bayan,246,0,246,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""1: Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."", ""49: —Makikita rin ninyo—ang sabi ng franciscano—pagka po kayo'y natirang ilang bowan dito, kayo'y maniniwala sa aking sinasabi: ¡iba ang mamahala ng bayan ng Madrid at iba, ang matira sa Filipinas!""]"
sa,9602,0,9602,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.""]"
pamagat,6,0,6,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '944: Nang nakikipagsalitaan siya sa kanyang mga ayudante tungkol sa mga pagbangguit na sa kanya\'y ginagawa ng mga pahayagan sa Maynila, sa ilalim ng mga pamagat na mga ""cometa"" at iba pang mga napakikita sa langit, sinabi sa kanya ng isa sa mga ayudanteng iyon ang pakikipagcagalit ni pari Damaso, na pinalubha pa ang cabigatan ng mga pananalita, baga man pinakinis ng caunti ang mga bigcas ng sabi.', '2276: At ang isa\'y may siyam na bahagui, ucol sa dalawang gabi, isang talinghagang ""drama"" na ang pamimintas ang tucoy, sinulat ng isa sa lalong magaling na poeta dito sa lalawigan at Mariang Makiling ang pamagat.']"
Kapitang,66,66,0,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""1: Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."", '226: —ang unang sinabi ni Kapitang Tiago, at kanyang hinagcan ang mga kamay ng mga sacerdote, na pawang nacalimot ng pagbebendicion.']"
Tiago,132,132,0,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '29: Ang tanging sumasalubong sa pagdating ng mga ginoong babae ay isang babaeng matandang pinsan ni kapitan Tiago, mukhang mabait at hindi magaling magwicang kastila.', '226: —ang unang sinabi ni Kapitang Tiago, at kanyang hinagcan ang mga kamay ng mga sacerdote, na pawang nacalimot ng pagbebendicion.']"
anyayang,1,0,1,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.""]"
baga,146,0,146,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '15: Namumucod ng di ano lamang sa mga ganitong handang sa mundo\'y nauucol, ang sumasapader na mga cuadrong tungkol sa religion, gaya baga ng ""Ang Purgatorio,"" ""Ang Infierno,"" ""Ang huling Paghuhucom,"" ""Ang pagkamatay ng banal,"" ""Ang pagkamatay ng macasalanan,"" at sa duyo\'y naliliguid nang isang maringal at magandañg ""marco"" na anyong ""Renacimiento"" na gawa ni Arevalo, ang isang mabuting ayos at malapad na ""lienzo"" na doo\'y napapanood ang dalawang matandang babae.', '23: Magaganda ang mga casangcapan, baga man marahil ay hindi maguinhawahang gamitin at nacasasama pa sa katawan: hindi nga ang icaiilag sa sakit ng kanyang mga inaanyayahan ang naiisip ng may-ari, kung di ang sariling pagmamarikit.']"
man,491,0,491,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""1: Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."", '23: Magaganda ang mga casangcapan, baga man marahil ay hindi maguinhawahang gamitin at nacasasama pa sa katawan: hindi nga ang icaiilag sa sakit ng kanyang mga inaanyayahan ang naiisip ng may-ari, kung di ang sariling pagmamarikit.']"
niyon,11,0,11,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""63: May anim na libo ang dami ng taong namamayan sa San Diego, at bawa't tagaroo'y nakikilala ko, na parang siya'y aking ipinanganac at pinasuso: nalalaman ko kung alin ang mga lisyang caasalan nito, kung ano ang pinangangailangan niyon, kung sino ang nangingibig sa bawa't dalaga, kung ano anong mga pagkadupilas ang nangyari sa babaeng ito, kung sino ang tunay na ama ng batang inianac, at iba pa; palibhasa'y kinucumpisal ko ang calahatlahatang taong-bayan; nangag-iingat ng mainam sila sa canicanilang catungculan."", '413: Yao\'y ang mga dating daan at mga dating bahay na may mga pintang puti at azul at mga pader na pinintahan ng puti o kung dili kaya\'y mga anyong ibig tularan ang batong ""granito"" ay masama ang pagkakahuwad; nananatili sa campanario ng simbahan ang kanyang relos na may caratulang kupas na; iyon ding mga tindahan ng insic na iyong may maruruming tabing na nasasampay sa mga varillang bacal, na pinagbalibalicuco niya isang gabi ang isa sa mga varillang iyon, sa pakikitulad niya sa masasama ang pagkaturong mga bata sa Maynila: sino ma\'y walang nagtowid niyon.']"
lamang,585,0,585,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""1: Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."", ""7: Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagcaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may camatayang sa loob ng coche ay nacacatulog o nagdidilidili ng mga paglago ng panahon.""]"
hapong,4,0,4,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '3725: ""Dumating ng hapong ito ang Alcalde ng lalawigan, upang bigyan ng cadakilaan sa kanyang pagharap ang gagawing ""ceremonia"" bukas.', ""4815: ang isip ko pa nama'y magtatamo ako ng isang hapong maligaya ... kung di lamang itong nangyaring malaking casacunaang ito'y ako sana ang lalong maligaya sa lahat ng mga tao at mananagbili sa akin ang lahat ...""]"
iyon,352,0,352,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""5: Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang namamahala'y ang Dios o ang Naturaleza, na tumanggap din sa ating Gobierno ng pakikipagcayari upang gawin ang maraming bagay."", '115: ¿hindi po ba kinalulugdan ng inyong cagalangan ang bayang iyon?']"
