row_index,sentence_id,original_token,new_token,position,before_context,after_context
5,6,pakikipagcayari,pakikipagkayari,177,"Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang namamahala'y ang Dios o ang Naturaleza, na tumanggap din sa ating Gobierno ng pakikipagcayari upang gawin ang maraming bagay.","Hindi kami naniniwalang ipinaguiba ang bahay na iyon ng may-ari, sa pagka't sa ganitong gawa'y ang namamahala'y ang Dios o ang Naturaleza, na tumanggap din sa ating Gobierno ng pakikipagkayari upang gawin ang maraming bagay."
6,7,calakhan,kalakhan,24,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at kung magcabihira pa'y cucunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic.","—Ang bahay na iyo'y may kalakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming kapakan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangkang nagdadala ng sarisaring bagay, at kung magkabihira pa'y kukunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic."
6,7,capacan-ang,kapakan-ang,256,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at kung magcabihira pa'y cucunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic.","—Ang bahay na iyo'y may kalakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming kapakan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangkang nagdadala ng sarisaring bagay, at kung magkabihira pa'y kukunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic."
6,7,bangcang,bangkang,335,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at kung magcabihira pa'y cucunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic.","—Ang bahay na iyo'y may kalakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming kapakan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangkang nagdadala ng sarisaring bagay, at kung magkabihira pa'y kukunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic."
6,7,magcabihira,magkabihira,383,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at kung magcabihira pa'y cucunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic.","—Ang bahay na iyo'y may kalakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming kapakan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangkang nagdadala ng sarisaring bagay, at kung magkabihira pa'y kukunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic."
6,7,cucunan,kukunan,400,"—Ang bahay na iyo'y may calakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming capacan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangcang nagdadala ng sarisaring bagay, at kung magcabihira pa'y cucunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic.","—Ang bahay na iyo'y may kalakhan din, tulad sa maraming nakikita sa mga lupaing ito; natatayo sa pampang ng ilog na sanga ng ilog Pasig, na kung tawaguin ng iba'y ""ria"" (ilat) ng Binundoc, at gumaganap, na gaya rin ng lahat ng ilog sa Maynila, ng maraming kapakan-ang pagkapaliguan, agusan ng dumi, labahan, pinangingisdaan, daanan ng bangkang nagdadala ng sarisaring bagay, at kung magkabihira pa'y kukunan ng tubig na inumin, kung minamagaling ng tagaiguib na insic."
7,8,nacatutulig,nakatutulig,116,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagcaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may camatayang sa loob ng coche ay nacacatulog o nagdidilidili ng mga paglago ng panahon.","Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nakatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagkaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may kamatayang sa loob ng koche ay nakakatulog o nagdidilidili ng mga paglago ng panahon."
7,8,nagcaroon,nagkaroon,186,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagcaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may camatayang sa loob ng coche ay nacacatulog o nagdidilidili ng mga paglago ng panahon.","Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nakatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagkaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may kamatayang sa loob ng koche ay nakakatulog o nagdidilidili ng mga paglago ng panahon."
7,8,camatayang,kamatayang,511,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagcaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may camatayang sa loob ng coche ay nacacatulog o nagdidilidili ng mga paglago ng panahon.","Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nakatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagkaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may kamatayang sa loob ng koche ay nakakatulog o nagdidilidili ng mga paglago ng panahon."
7,8,coche,koche,533,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagcaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may camatayang sa loob ng coche ay nacacatulog o nagdidilidili ng mga paglago ng panahon.","Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nakatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagkaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may kamatayang sa loob ng koche ay nakakatulog o nagdidilidili ng mga paglago ng panahon."
7,8,nacacatulog,nakakatulog,542,"Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nacatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagcaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may camatayang sa loob ng coche ay nacacatulog o nagdidilidili ng mga paglago ng panahon.","Dapat halataing sa lubhang kinakailangang gamit na ito ng nayong ang dami ng kalakal at taong nagpaparoo't parito'y nakatutulig, sa layong halos may sanglibong metro'y bahagya na lamang nagkaroon ng isang tulay na kahoy, na sa anim na bowa'y sira ang kabilang panig at ang kabila nama'y hindi maraanan sa nalalabi ng taon, na ano pa't ang mga kabayo, kung panahong tag-init, kanilang sinasamantala ang gayong hindi nagbabagong anyo, upang mula roo'y lumucso sa tubig, na ikinagugulat ng nalilibang na taong may kamatayang sa loob ng koche ay nakakatulog o nagdidilidili ng mga paglago ng panahon."
8,9,cababaan,kababaan,4,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arquitectong"" namatnugot sa paggawa o ang bagay na ito'y cagagawan ng mga lindol at mga bagyo, sino ma'y walang macapagsasabi ng tucoy.","May kababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arkitectong"" namatnugot sa paggawa o ang bagay na ito'y kagagawan ng mga lindol at mga bagyo, sino ma'y walang makapagsasabi ng tukoy."
8,9,arquitectong,arkitectong,120,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arquitectong"" namatnugot sa paggawa o ang bagay na ito'y cagagawan ng mga lindol at mga bagyo, sino ma'y walang macapagsasabi ng tucoy.","May kababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arkitectong"" namatnugot sa paggawa o ang bagay na ito'y kagagawan ng mga lindol at mga bagyo, sino ma'y walang makapagsasabi ng tukoy."
8,9,cagagawan,kagagawan,177,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arquitectong"" namatnugot sa paggawa o ang bagay na ito'y cagagawan ng mga lindol at mga bagyo, sino ma'y walang macapagsasabi ng tucoy.","May kababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arkitectong"" namatnugot sa paggawa o ang bagay na ito'y kagagawan ng mga lindol at mga bagyo, sino ma'y walang makapagsasabi ng tukoy."
8,9,macapagsasabi,makapagsasabi,232,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arquitectong"" namatnugot sa paggawa o ang bagay na ito'y cagagawan ng mga lindol at mga bagyo, sino ma'y walang macapagsasabi ng tucoy.","May kababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arkitectong"" namatnugot sa paggawa o ang bagay na ito'y kagagawan ng mga lindol at mga bagyo, sino ma'y walang makapagsasabi ng tukoy."
8,9,tucoy,tukoy,249,"May cababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arquitectong"" namatnugot sa paggawa o ang bagay na ito'y cagagawan ng mga lindol at mga bagyo, sino ma'y walang macapagsasabi ng tucoy.","May kababaan ang bahay na sinasabi namin, at hindi totoong magaling ang pagkakaanyo; kung hindi napagmasdang mabuti ng ""arkitectong"" namatnugot sa paggawa o ang bagay na ito'y kagagawan ng mga lindol at mga bagyo, sino ma'y walang makapagsasabi ng tukoy."
9,10,cacapitang,kakapitang,32,"Isang malapad na hagdanang ma'y cacapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip.","Isang malapad na hagdanang ma'y kakapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o makapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa kabahayan, na ang linalakara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nakalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip."
9,10,macapasoc,makapasoc,137,"Isang malapad na hagdanang ma'y cacapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip.","Isang malapad na hagdanang ma'y kakapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o makapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa kabahayan, na ang linalakara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nakalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip."
9,10,cabahayan,kabahayan,197,"Isang malapad na hagdanang ma'y cacapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip.","Isang malapad na hagdanang ma'y kakapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o makapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa kabahayan, na ang linalakara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nakalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip."
9,10,linalacara'y,linalakara'y,215,"Isang malapad na hagdanang ma'y cacapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip.","Isang malapad na hagdanang ma'y kakapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o makapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa kabahayan, na ang linalakara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nakalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip."
9,10,nacalagay,nakalagay,287,"Isang malapad na hagdanang ma'y cacapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o macapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa cabahayan, na ang linalacara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nacalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip.","Isang malapad na hagdanang ma'y kakapitang kulay verde, at nalalatagan ng alfombra sa mumunting panig ang siyang daanan mula sa silong o makapasoc ng pintuang nalalatagan ng ""azulejos"" hanggang sa kabahayan, na ang linalakara'y napapag-itanan ng mga maceta at alagaan ng mga bulaklak na nakalagay sa ""pedestal"" na lozang gawa sa China, na may sarisaring kulay at may mga dibujong hindi mapaglirip."
10,11,catoto,katoto,136,"Yamang walang bantay-pinto o alilang humingi o magtanong ng ""billete"" o sulat na anyaya, tayo'y pumanhik, ¡oh ikaw na bumabasa sa akin, catoto o kaaway!","Yamang walang bantay-pinto o alilang humingi o magtanong ng ""billete"" o sulat na anyaya, tayo'y pumanhik, ¡oh ikaw na bumabasa sa akin, katoto o kaaway!"
11,12,sacali't,sakali't,0,"sacali't naaakit ikaw ng tugtog ng orquesta, ng ilaw o ng macahulugang ""clin-clan"" ng mga pingga't cubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan.","sakali't naaakit ikaw ng tugtog ng orkesta, ng ilaw o ng makahulugang ""clin-clan"" ng mga pingga't kubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan."
11,12,orquesta,orkesta,35,"sacali't naaakit ikaw ng tugtog ng orquesta, ng ilaw o ng macahulugang ""clin-clan"" ng mga pingga't cubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan.","sakali't naaakit ikaw ng tugtog ng orkesta, ng ilaw o ng makahulugang ""clin-clan"" ng mga pingga't kubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan."
11,12,macahulugang,makahulugang,58,"sacali't naaakit ikaw ng tugtog ng orquesta, ng ilaw o ng macahulugang ""clin-clan"" ng mga pingga't cubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan.","sakali't naaakit ikaw ng tugtog ng orkesta, ng ilaw o ng makahulugang ""clin-clan"" ng mga pingga't kubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan."
11,12,cubiertos,kubiertos,99,"sacali't naaakit ikaw ng tugtog ng orquesta, ng ilaw o ng macahulugang ""clin-clan"" ng mga pingga't cubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan.","sakali't naaakit ikaw ng tugtog ng orkesta, ng ilaw o ng makahulugang ""clin-clan"" ng mga pingga't kubiertos at ibig mong mapanood kung paano ang mga piguing doon sa Perla ng Casilanganan."
